2025/10/23 00:06:41 Warning: Not enough data to match format specification: [Name;Rechtswert;Hochwert;Höhe;Feature code ID;Lokales Datum;Ortszeit]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [3.05;55570.901;266065.732;806.339;1;2025-10-20;15:03:30]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [3.06;55570.900;266065.732;806.337;1;2025-10-20;15:03:40]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [3.07;55570.903;266065.732;806.337;1;2025-10-20;15:03:50]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [3.08;55570.904;266065.731;806.342;1;2025-10-20;15:04:00]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [1.11;55586.146;266045.200;803.476;9;2025-10-20;16:48:26]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [1.12;55586.145;266045.201;803.481;9;2025-10-20;16:48:36]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [1.13;55586.147;266045.202;803.486;9;2025-10-20;16:48:46]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [1.14;55586.145;266045.199;803.484;9;2025-10-20;16:48:57]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [1.15;55586.145;266045.197;803.491;9;2025-10-20;16:49:22]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [1.16;55586.144;266045.198;803.489;9;2025-10-20;16:49:33]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [1.17;55586.143;266045.199;803.485;9;2025-10-20;16:49:48]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [1.18;55586.140;266045.199;803.479;9;2025-10-20;16:50:02]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.11;55587.928;266060.634;803.872;9;2025-10-20;16:51:24]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.12;55587.928;266060.634;803.890;9;2025-10-20;16:52:15]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.13;55587.930;266060.636;803.893;9;2025-10-20;16:52:26]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.14;55587.931;266060.632;803.894;9;2025-10-20;16:52:56]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.15;55587.931;266060.629;803.894;9;2025-10-20;16:53:26]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.16;55587.934;266060.637;803.896;9;2025-10-20;16:53:41]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.17;55587.931;266060.640;803.898;9;2025-10-20;16:53:52]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.18;55587.932;266060.637;803.895;9;2025-10-20;16:54:08]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.19;55570.899;266065.743;806.304;9;2025-10-20;16:55:01]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.20;55570.897;266065.740;806.306;9;2025-10-20;16:55:12]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.21;55570.898;266065.744;806.306;9;2025-10-20;16:55:31]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.22;55570.901;266065.738;806.315;9;2025-10-20;16:55:50]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.23;55570.906;266065.740;806.315;9;2025-10-20;16:56:03]
2025/10/23 00:06:41 Warning: Not enough data to match format specification: [2.24;55570.907;266065.736;806.323;9;2025-10-20;16:56:14]
2025/10/23 00:11:02 Warning: Not enough data to match format specification: [Name;Rechtswert;Hochwert;Höhe;Feature code ID;Lokales Datum;Ortszeit]
2025/10/23 00:11:02 Warning: Not enough data to match format specification: [67313_1E1_GPS;55516.670;266039.783;813.206;rmGEO;;]
2025/10/23 00:11:02 Warning: Not enough data to match format specification: [_8-97T1_GPS;55285.551;265980.220;838.533;rmGEO;;]
2025/10/23 00:11:02 Warning: Not enough data to match format specification: [67311_7E1_GPS;55609.088;265706.084;672.033;rmGEO;;]
